State,Infant,Toddler,4-Year-Old
Alabama,$8771,$8771,$8186
Alaska,$11760,$10980,$9600
Arizona,$14040,$12662,$10920
Arkansas,$8869,$8099,$8219
California,$19547,NR,$14396
Colorado,$19573,$16307,$13809
Connecticut,$17888,$16432,$14716
Delaware,$14995,$13365,$12084
District of Columbia,$25480,$23431,$20410
Florida,$12639,$11133,$9139
Georgia,$11066,$10534,$9666
Hawaii,$22585,$17925,$13156
Idaho,$10108,$9246,$8496
Illinois,$16373,$16373,$11987
Indiana,$13736,$11965,$9421
Iowa,$12168,$11143,$9745
Kansas,$15071,$12851,$9724
Kentucky,$9685,$9243,$8525
Louisiana,$10101,$9504,$9183
Maine,$11960,$11284,$8580
Maryland,$19906,$15253,$12771
Massachusetts,$24005,$22463,$18760
Michigan,$12667,$12089,$10414
Minnesota,$20129,$17784,$15544
Mississippi,$8186,$7894,$7309
Missouri,$12907,$10640,$9681
Montana,$11700,$11700,$10400
Nebraska,$13000,$11960,$10920
Nevada,$13024,$12563,$10928
New Hampshire,$17250,$16007,$14618
New Jersey,$19634,$18891,$17002
New Mexico,$13521,$10296,$9486
New York,$19584,$18081,$16415
North Carolina,$12251,$11363,$10206
North Dakota,$10758,$10236,$9685
Ohio,$12351,$11125,$9580
Oklahoma,$10065,$9432,$8436
Oregon,$17680,$16796,$13832
Pennsylvania,$14483,$13774,$12097
Rhode Island,$16899,$15967,$14618
South Carolina,$9048,$8727,$8216
South Dakota,$7862,$7862,$7218
Tennessee,$11985,$11027,$10389
Texas,$11024,$10608,$9932
Utah,$11232,$9180,$8268
Vermont,$17973,$17353,$17043
Virginia,$16397,$15583,$13560
Washington,$20370,$17976,$15720
West Virginia,$10140,$9620,$9100
Wisconsin,$13572,$12272,$11128
Wyoming,$11075,$10300,$9745
