State,Infant,Toddler,4-Year-Old
Alabama,$8186,$8186,$7894
Alaska,$9624,$9000,$8364
Arizona,$8840,$7800,$7800
Arkansas,$7691,$7371,$7038
California,$16432,NR,$14480
Colorado,$12750,$12750,$11970
Connecticut,$14040,NR,$12896
Delaware,$10146,$9558,$9128
District of Columbia,$20800,$20449,$19149
Florida,$10881,$9797,$8346
Georgia,$8407,$8042,$7802
Hawaii,$11162,$10737,$10597
Idaho,$7609,$7384,$7022
Illinois,$11691,$11691,$10233
Indiana,$8845,$8313,$7776
Iowa,$8176,$8015,$7871
Kansas,$8630,$8241,$7391
Kentucky,$7345,$7020,$6500
Louisiana,$8035,$7653,$7653
Maine,$8580,$7800,$7800
Maryland,$14320,$10824,$10136
Massachusetts,$15129,$14074,$14074
Michigan,$9044,$8862,$8641
Minnesota,$9765,$9403,$8981
Mississippi,$6724,$5847,$7017
Missouri,$8498,$7555,$7361
Montana,$9100,$9100,$9100
Nebraska,$8320,$8060,$8060
Nevada,$10407,$10074,$9603
New Hampshire,$11402,$11695,$10964
New Jersey,$12144,$10795,$10795
New Mexico,$11564,$11564,$11564
New York,$16383,$15535,$14552
North Carolina,$9617,$9160,$8783
North Dakota,$9203,$8891,$8713
Ohio,$9278,$8862,$7852
Oklahoma,$8704,$8439,$7919
Oregon,$13000,$11700,$11440
Pennsylvania,$10679,$10129,$9408
Rhode Island,$14618,$14618,$13960
South Carolina,$7150,$5937,$5850
South Dakota,$5824,$5824,$5658
Tennessee,$8024,$8604,$7992
Texas,$9724,$9672,$9308
Utah,$8400,$7800,$7200
Vermont,$12395,$12318,$11775
Virginia,$12158,$11659,$11195
Washington,$15600,$14300,$13000
West Virginia,$8320,$7540,$7540
Wisconsin,$10400,$9360,$9360
Wyoming,$9475,$8614,$8121
